"grade","age","gender","live","times.moved","now.living","time.work","time.no.adult","time.friend","time.school.act","time.noschool.act","time.reading","time.church","time.HW","time.excersize","time.fruit","X30.smoke","X30.5drinks","X30dr.driving","X30.cig","X30cigars","X30drink","X30marijuana","X30glue","X30meth","X30coke","X30amph","X30prescription","X30counter","X30chew","X30steroid","X30barbituates","pride","truth","values.drug","responsibility","friends","fix.problems","decision","excite","hard.work","Pop.cig","Pop.drink","Pop.marijuana","Pop.otherdrug","safe","best.school","talk.adult","grades","home.rules","home.happy","home.al.drug","home.close","home.talk","home.support","home.know","home.chores","home.wrong","home.praise","Wpdrink","N.safe","X"
"8th",13,"Male","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours",5,"1 time per day","I did not smoke cigarettes during the past 30 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","A lot less popular","A lot less popular","A lot less popular","A lot less popular","Agree","Agree","Agree","Above average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Often","Always","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours",7,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","A lot less popular","A lot less popular","A lot less popular","A lot less popular","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Always","Often","Often","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In a medium sized city, 5,000-30,000 population","Three times","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","3-5 hours",2,"1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,"Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Always","Often","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","3-5 hours",7,"1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","-1","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","More popular","More popular","More popular","More popular","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Always","Often","Always","Often","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours",5,"1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Less popular","Less popular","Less popular","Less popular","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Always","Always","Often","Very wrong","Agree",NA
"8th",13,"Male","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","3-5 hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours",4,"3 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Less popular","A lot less popular","A lot less popular","Less popular","Disagree","Agree","Agree","Above average","Agree","Disagree","Agree","Agree","Disagree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Very wrong","Disagree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",5,"Less than 1 time per day","I did not smoke cigarettes during the past 30 days","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","3-5 days","1-2 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","More popular","Less popular","Less popular","A lot less popular","Agree","Agree","Agree","Excellent","Agree","Agree","Disagree","Disagree","Disagree","Agree","Sometimes","Often","Sometimes","Often","A little wrong",NA,NA
"8th",13,"Male","In a small city or town, less than 5,000 population","Twice","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",3,"Less than 1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","A lot less popular","A lot less popular","A lot less popular","A lot less popular","Agree","Agree","Agree","Above average","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",4,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Disagree","Agree","Disagree","Above average","Agree","Agree","Disagree","Agree","Disagree","Agree","Always","Always","Often","Always","Very wrong",NA,NA
"8th",13,"Male","In the country, but not on a farm","None","with a parent/s","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",5,"1 time per day","-1","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Less popular","Less popular","A lot less popular","Less popular","Agree","Agree","Agree","Average","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Often","Often","Often","Often","Wrong","Agree",NA
"8th",13,"Male","On a farm","None","with a parent/s","2 or less hours","6 or more hours","6 or more hours","3-5 hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours",3,"1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","A lot less popular","A lot less popular","A lot less popular","A lot less popular","Agree","Agree","Disagree","Above average","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Often","Sometimes","Often","Often","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",7,"I did not eat fruit and/or vegetables during the past 7 days","I have never tried cigarette smoking, not even a few puffs","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Agree","Agree","Above average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Often","Often","Often","Wrong","Agree",NA
"8th",13,"Male","In a medium sized city, 5,000-30,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",3,"1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","-1","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Less popular","Less popular","A lot less popular","A lot less popular","Agree","Agree","Disagree","Above average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Sometimes","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Female","In a medium sized city, 5,000-30,000 population","Twice","with a parent/s","3-5 hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours",7,"1 time per day","-1","6 to 9 days","1 to 2 days","1-2 days","0 days","10-19 days","3-5 days","20-29 days","0 days","3-5 days","0 days","1-2 days","1-2 days","Used but not last 30 days","Have never used","Have never used","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Disagree","Agree","Disagree","Above average","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Never","Often","Sometimes","Often","Very wrong","Disagree",NA
"8th",13,"Female","In the country, but not on a farm","None","with a parent/s","3-5 hours","2 or less hours","3-5 hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours",7,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","A lot less popular","Wouldnt change my popularity","A lot less popular","A lot less popular","Agree",NA,"Agree",NA,"Agree","Agree","Agree","Agree","Disagree","Agree","Sometimes","Sometimes","Sometimes","Often","Very wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","3-5 hours","3-5 hours","-1","2 or less hours","2 or less hours","2 or less hours","2 or less hours",4,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","A lot less popular","A lot less popular","A lot less popular","A lot less popular","Disagree","Agree","Disagree","Excellent","Disagree","Agree","Agree","Agree","Disagree","Disagree","Often","Always","Often","Never","Very wrong","Agree",NA
"8th",13,"Female","In a medium sized city, 5,000-30,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","6 or more hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours",5,"1 time per day","I have never tried cigarette smoking, not even a few puffs","1 day","I don't drive","0 days","0 days","1-2 days","1-2 days","0 days","0 days","1-2 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Less popular","Less popular","Less popular","Less popular","Agree","Agree","Agree","Average","Agree","Disagree","Agree","Agree","Disagree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","Once","-1","2 or less hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",7,"2 times per day","I did not smoke cigarettes during the past 30 days","1 day","I don't drive","1-2 days","0 days","1-2 days","0 days","3-5 days","0 days","0 days","0 days","0 days","1-2 days","Used but not last 30 days","Used but not last 30 days","Have never used","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Wouldnt change my popularity","More popular","Less popular","Wouldnt change my popularity","Agree","Agree","Agree","Above average","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Often","Sometimes","Sometimes","Wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","6 or more hours","6 or more hours","3-5 hours","6 or more hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours",7,"1 time per day","I have never tried cigarette smoking, not even a few puffs","1 day","I don't drive","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","A lot less popular","Wouldnt change my popularity","A lot less popular","A lot less popular","Agree","Agree","Agree","Average","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Sometimes","Sometimes","Never","A little wrong","Agree",NA
"8th",13,"Female","In a medium sized city, 5,000-30,000 population","Once","with a parent/s","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",4,"I did not eat fruit and/or vegetables during the past 7 days","I did not smoke cigarettes during the past 30 days","0 days","0 days","0 days","0 days","1-2 days","0 days","1-2 days","0 days","0 days","0 days","0 days","3-5 days","Have never used","Have never used","Have never used","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Agree","Agree","Average","Disagree","Agree","Agree","Agree","Disagree","Agree","Sometimes","Never","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Female","In a medium sized city, 5,000-30,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",7,"4 times per day","-1","0 days","I don't drive","10-19 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Less popular","Less popular","Agree","Agree","Disagree","Above average","Agree","Disagree",NA,"Agree","Disagree","Disagree","Sometimes","Always","Always","Never","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",7,"Less than 1 time per day","-1","2 days","0 days","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Used but not last 30 days","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Less popular","Less popular","A lot less popular","A lot less popular","Agree","Disagree","Disagree","Below average","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Sometimes","Sometimes","Sometimes","Never","Wrong","Disagree",NA
"8th",13,"Male","In a large city over 30,000 population","None","with a parent/s","6 or more hours","6 or more hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",7,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","0 days","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Used but not last 30 days","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Less popular","More popular","Less popular","Less popular","Agree","Agree","Agree","Above average","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Often","Always","Often","Sometimes","Wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","Once","-1","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",3,"1 time per day","-1","0 days","I don't drive","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Disagree","Disagree","Disagree","Below average","Agree","Agree","Agree","Agree","Disagree","Agree","Often","Often","Often","Often","A little wrong","Disagree",NA
"8th",13,"Male","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","3-5 hours","2 or less hours","3-5 hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours",7,"2 times per day","-1","3 to 5 days","0 days","0 days","0 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Less popular","More popular","Less popular","Less popular","Disagree","Agree","Disagree","Average","Agree","Agree","Agree","Agree","Disagree","Agree","Sometimes","Often","Sometimes","Sometimes","Wrong","Agree",NA
"8th",13,"Female","On a farm","None","with a parent/s","2 or less hours","6 or more hours","-1","6 or more hours","6 or more hours","6 or more hours","3-5 hours","6 or more hours",3,"I did not eat fruit and/or vegetables during the past 7 days","2 to 5 per day","2 days","I don't drive","6-9 days","3-5 days","20-29 days","6-9 days","10-19 days","3-5 days","3-5 days","6-9 days","10-19 days","6-9 days","1-2 days","3-5 days","10-19 days","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Disagree","Disagree","Disagree","Failing","Agree","Agree","Agree","Disagree","Disagree","Agree","Always","Sometimes","Always","Always","A little wrong","Disagree",NA
"8th",13,"Male","In a small city or town, less than 5,000 population","Three times","with a parent/s","-1","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",6,"1 time per day","-1","20 or more days","6 or more days","6-9 days","1-2 days","20-29 days","1-2 days","1-2 days","0 days","0 days","0 days","0 days","0 days","1-2 days","Have never used","Have never used","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Less popular","More popular","Less popular","A lot less popular","Disagree","Agree","Agree","Below average","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Sometimes","Often","Sometimes","Never","A little wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","3-5 hours","6 or more hours","6 or more hours","6 or more hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours",7,"2 times per day","I did not smoke cigarettes during the past 30 days","2 days","0 days","0 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","A lot less popular","Wouldnt change my popularity","A lot less popular","A lot less popular","Disagree","Agree","Agree","Above average","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Often","Sometimes","Often","Often","Very wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","3-5 hours","2 or less hours","-1","-1","3-5 hours",3,"Less than 1 time per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","3-5 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Disagree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Always","Often","Often","Very wrong","Agree",NA
"8th",13,"Female","In a large city over 30,000 population","None","with a parent/s","2 or less hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",3,"Less than 1 time per day","2 to 5 per day","1 day","I don't drive","6-9 days","0 days","3-5 days","1-2 days","3-5 days","0 days","0 days","1-2 days","3-5 days","10-19 days","Used but not last 30 days","Have never used","Have never used","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Less popular","More popular","A lot more popular","A lot more popular","Disagree","Agree","Agree","Above average","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Often","Always","Often","Sometimes","Very wrong","Disagree",NA
"8th",13,"Female","In a large city over 30,000 population","None","with a parent/s","3-5 hours","6 or more hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","6 or more hours",4,"2 times per day","-1","1 day","I don't drive","0 days","0 days","3-5 days","0 days","1-2 days","0 days","0 days","0 days","1-2 days","1-2 days","Have never used","Have never used","Have never used","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Less popular","More popular","Less popular","Less popular","Agree","Agree","Agree","Above average","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Sometimes","Often","Never","A little wrong","Agree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",5,"Less than 1 time per day","I have never tried cigarette smoking, not even a few puffs","3 to 5 days","I don't drive","0 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Less popular","Wouldnt change my popularity","A lot less popular","A lot less popular","Agree","Agree","Agree","Above average","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Often","Never","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In the country, but not on a farm","None","with a parent/s","2 or less hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",4,"2 times per day","-1","2 days","0 days","1-2 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","3-5 days","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","A lot less popular","A lot less popular","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Often","Often","Often","Wrong","Agree",NA
"8th",13,"Male","In a medium sized city, 5,000-30,000 population","None","-1","2 or less hours","6 or more hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",7,"2 times per day","I did not smoke cigarettes during the past 30 days","3 to 5 days","6 or more days","0 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Less popular","More popular","Less popular","Less popular","Agree","Agree","Disagree","Excellent","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Often","Sometimes","Sometimes","Sometimes","A little wrong","Agree",NA
"8th",13,"Male","On a farm","None","with a parent/s","2 or less hours","3-5 hours","3-5 hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","3-5 hours",6,"1 time per day","I have never tried cigarette smoking, not even a few puffs","20 or more days","I don't drive","0 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Used but not last 30 days","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Agree","Agree","Above average","Agree","Agree","Disagree","Agree","Disagree","Agree","Often","Sometimes","Often","Often","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","Three times","with a parent/s","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",7,"Less than 1 time per day","Less than 1 cigarette per day","1 day","-1","1-2 days","0 days","3-5 days","0 days","0 days","0 days","0 days","0 days","1-2 days","1-2 days","Have never used","Have never used","Have never used","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Less popular","Less popular","Disagree","Disagree","Disagree","Average","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Never","Never","Sometimes","Sometimes","Very wrong","Agree",NA
"8th",13,"Male","In a large city over 30,000 population","Once","with a parent/s","2 or less hours","3-5 hours","6 or more hours","-1","2 or less hours","3-5 hours","2 or less hours","6 or more hours",4,"2 times per day","I have never tried cigarette smoking, not even a few puffs","0 days","I don't drive","0 days","0 days","3-5 days","1-2 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Less popular","Less popular","Less popular","Less popular","Agree","Agree","Disagree","Above average","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Sometimes","Always","Always","Never","Very wrong","Disagree",NA
"8th",13,"Female","In a small city or town, less than 5,000 population","None","with a parent/s","2 or less hours","6 or more hours","2 or less hours","2 or less hours","2 or less hours","-1","2 or less hours","2 or less hours",1,"Less than 1 time per day","2 to 5 per day","0 days","I don't drive","10-19 days","1-2 days","6-9 days","3-5 days","1-2 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","A lot less popular","Less popular","A lot less popular","A lot less popular","Agree","Disagree","Agree","Average","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Sometimes","Never","Often","Often","A little wrong",NA,NA
"8th",13,"Female","In the country, but not on a farm","None","with a parent/s","2 or less hours","2 or less hours","2 or less hours","3-5 hours","2 or less hours","2 or less hours","2 or less hours","2 or less hours",4,"4 times per day","-1","6 to 9 days","I don't drive","0 days","0 days","6-9 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Used but not last 30 days","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Wouldnt change my popularity","Agree","Disagree","Disagree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Always","Always","Often","Often","Wrong","Agree",NA
"8th",13,"Male","On a farm","None","with a parent/s","3-5 hours","2 or less hours","2 or less hours","-1","2 or less hours","2 or less hours","3-5 hours","2 or less hours",5,"Less than 1 time per day","2 to 5 per day","0 days","0 days","10-19 days","0 days","6-9 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","1-2 days","Have never used","Have never used","Disagree",NA,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","More popular","More popular","More popular","More popular","Agree","Agree","Agree","Average","Agree","Agree","Disagree","Agree","Disagree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","Wrong","Agree",NA
"8th",13,"Male","On a farm","None","with a parent/s","6 or more hours","3-5 hours","2 or less hours","6 or more hours","-1","2 or less hours","2 or less hours","2 or less hours",6,"4 times per day","-1","6 to 9 days","0 days","0 days","0 days","6-9 days","0 days","0 days","0 days","0 days","0 days","0 days","0 days","Have never used","Have never used","Have never used","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","A lot less popular","Wouldnt change my popularity","A lot less popular","A lot less popular","Agree","Agree","Agree","Excellent","Agree","Agree","Disagree","Disagree","Disagree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","Not wrong at all","Agree",NA
