grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,3-5 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,6,2 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,A lot less popular,More popular,A lot less popular,More popular,Strongly disagree,Strongly agree,Agree,Excellent,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Often,Always,Often,Always,Very wrong,Strongly agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,3-5 hours,6-10 hours,3-5 hours,3-5 hours,11 or more hours,1-2 hours,6-10 hours,3-5 hours,6,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,A lot less popular,Less popular,A lot less popular,A lot less popular,Strongly agree,Agree,Strongly agree,Above average,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Often,Always,Always,Often,Very wrong,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,6-10 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,A lot less popular,Less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Average,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Often,Always,Often,Always,Very wrong,Agree,
8th,13,Female,-1,-1,with a parent/s,1-2 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,-1,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,.,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Less popular,Agree,Agree,Disagree,Average,Agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Often,Sometimes,Sometimes,Sometimes,A little wrong,.,
8th,13,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Excellent,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Always,Sometimes,Sometimes,Sometimes,Very wrong,Strongly agree,
8th,13,Female,On a farm,None,with a parent/s,1-2 hours,1-2 hours,1-2 hours,11 or more hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,7,1 time per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,3-5 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Less popular,Wouldnt change my popularity,Less popular,Less popular,Agree,Agree,Agree,Excellent,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Always,Always,Often,Sometimes,Wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",Four times or more,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,3-5 hours,3,1 time per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Disagree,.,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,More popular,More popular,More popular,More popular,Agree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Always,Sometimes,Often,-1,Very wrong,Strongly agree,
8th,13,Female,"In a large city over 30,000 population",Twice,with a parent/s,0 hours,3-5 hours,3-5 hours,6-10 hours,3-5 hours,3-5 hours,3-5 hours,6-10 hours,4,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Strongly agree,Excellent,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Always,Always,Often,Sometimes,Very wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,3-5 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,6-10 hours,0 hours,0,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,More popular,More popular,More popular,More popular,Agree,Agree,Disagree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Always,Always,Always,Sometimes,Very wrong,Disagree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,3-5 hours,0 hours,0 hours,3-5 hours,-1,0 hours,3-5 hours,6-10 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,Always,Always,Always,Often,Very wrong,Strongly agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",-1,-1,0 hours,11 or more hours,3-5 hours,0 hours,0 hours,6-10 hours,1-2 hours,3-5 hours,5,1 time per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Disagree,Agree,Disagree,Average,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Sometimes,Sometimes,Never,Sometimes,Very wrong,Disagree,
8th,13,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,3-5 hours,0 hours,0 hours,-1,-1,0 hours,1-2 hours,1,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Less popular,Less popular,Less popular,Less popular,.,.,Agree,Average,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Always,Always,Sometimes,Sometimes,Very wrong,Agree,
8th,13,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,6-10 hours,11 or more hours,1-2 hours,11 or more hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,3-5 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,A lot less popular,A lot less popular,Disagree,Agree,Agree,Excellent,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Sometimes,Never,Sometimes,Sometimes,Very wrong,Disagree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,3,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Less popular,Less popular,A lot less popular,A lot less popular,Agree,Agree,Disagree,Average,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Always,Sometimes,Sometimes,Often,Very wrong,Strongly agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,1-2 hours,3,2 times per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Agree,Average,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Sometimes,Never,Never,Never,Very wrong,Strongly agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,0 hours,1-2 hours,1-2 hours,7,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Disagree,Average,Agree,Agree,Disagree,Disagree,Disagree,Agree,Sometimes,Often,Sometimes,Sometimes,Wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,3-5 hours,0 hours,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,5,5 or more times per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,3-5 days,0 days,0 days,0 days,0 days,1-2 days,Have never used,Have never used,Have never used,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Less popular,More popular,Less popular,Less popular,Disagree,Agree,Agree,Above average,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Sometimes,Always,Always,Sometimes,Very wrong,Agree,
8th,13,Female,On a farm,Once,with a parent/s,6-10 hours,1-2 hours,1-2 hours,11 or more hours,3-5 hours,1-2 hours,1-2 hours,3-5 hours,7,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Less popular,Less popular,Less popular,Less popular,Disagree,Agree,Agree,Above average,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Always,Often,Always,Sometimes,Very wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,-1,6-10 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,6,3 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,Less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,.,.,.,Strongly agree,Disagree,Agree,Often,Often,Often,Often,Wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,5,3 times per day,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Disagree,Disagree,Agree,.,Strongly agree,Strongly agree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Disagree,Average,Agree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,Very wrong,Strongly agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,1-2 hours,6-10 hours,6-10 hours,3-5 hours,4,2 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,A lot less popular,A lot less popular,Less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Always,Sometimes,Often,Always,Very wrong,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,3-5 hours,3-5 hours,1-2 hours,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,1,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Disagree,Agree,Agree,Average,Agree,Disagree,Disagree,Agree,Disagree,Agree,Often,Often,Often,Never,Very wrong,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,6-10 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,5,2 times per day,-1,0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Less popular,Wouldnt change my popularity,Less popular,Less popular,Disagree,Agree,Agree,Average,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Always,Always,Sometimes,Often,Wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,11 or more hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,0 hours,3-5 hours,1,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,1 to 2 days,0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,1-2 days,1-2 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly disagree,Agree,Disagree,Excellent,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Often,Very wrong,Strongly agree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,3-5 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,7,2 times per day,Less than 1 cigarette per day,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,More popular,More popular,More popular,Less popular,Disagree,Agree,Strongly agree,Above average,Strongly agree,Agree,Disagree,Disagree,Disagree,Agree,Sometimes,Often,Sometimes,Sometimes,Very wrong,Agree,
8th,13,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,1-2 hours,11 or more hours,1-2 hours,11 or more hours,3-5 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly disagree,Above average,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Always,Often,Often,-1,Very wrong,Strongly agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,3-5 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Disagree,Agree,Disagree,Above average,Agree,Disagree,Disagree,Agree,Disagree,Agree,Sometimes,Often,Often,Often,Very wrong,Disagree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",Twice,with a parent/s,0 hours,1-2 hours,1-2 hours,11 or more hours,3-5 hours,0 hours,1-2 hours,1-2 hours,-1,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Less popular,A lot more popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Above average,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Always,Always,Always,Often,Very wrong,Agree,
8th,13,Female,"In the country, but not on a farm",Once,with a parent/s,0 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Often,Often,Often,Often,Very wrong,Strongly agree,
8th,13,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,3-5 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,3,Less than 1 time per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Disagree,.,Agree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Average,Disagree,Agree,Disagree,Agree,Disagree,Agree,Often,Often,Sometimes,Often,Wrong,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,0 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,7,2 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Disagree,Average,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Always,Always,Always,Never,Very wrong,Agree,
8th,13,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,6-10 hours,1-2 hours,6-10 hours,3-5 hours,1-2 hours,0 hours,11 or more hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Wouldnt change my popularity,More popular,Less popular,Less popular,Disagree,Agree,Disagree,Above average,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Agree,Often,Often,Always,Often,Very wrong,Agree,
8th,13,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,-1,1-2 hours,1-2 hours,1,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Disagree,Agree,Above average,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Often,Always,Sometimes,Sometimes,Wrong,Agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,1-2 hours,3-5 hours,1-2 hours,3-5 hours,11 or more hours,1-2 hours,0 hours,3-5 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Sometimes,Sometimes,Always,Never,Very wrong,Agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",Twice,with a parent/s,0 hours,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,2,1 time per day,Less than 1 cigarette per day,0 days,I don't drive,1-2 days,0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Less popular,More popular,Less popular,More popular,Agree,Disagree,Agree,Below average,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Often,Often,Often,Often,Not wrong at all,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,1-2 hours,3-5 hours,1-2 hours,6-10 hours,6-10 hours,0 hours,1-2 hours,3-5 hours,7,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,A lot less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Below average,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Often,Never,Sometimes,Sometimes,A little wrong,Agree,
8th,13,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,6-10 hours,0 hours,6-10 hours,3-5 hours,3-5 hours,0 hours,11 or more hours,4,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Excellent,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Sometimes,Sometimes,Sometimes,Sometimes,A little wrong,Disagree,
8th,13,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,11 or more hours,1-2 hours,0 hours,3-5 hours,-1,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,More popular,More popular,Less popular,Less popular,Agree,Disagree,Strongly agree,Average,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Always,Always,Often,Often,Very wrong,Strongly agree,
8th,13,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,3-5 hours,0 hours,3-5 hours,0 hours,0 hours,0 hours,1-2 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,.,Strongly agree,Strongly agree,Less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Agree,Average,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Always,Sometimes,Sometimes,Sometimes,Very wrong,Strongly agree,
8th,13,Female,"In a small city or town, less than 5,000 population",Twice,with a parent/s,0 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Less popular,More popular,A lot less popular,A lot less popular,Disagree,Agree,Agree,Average,Strongly agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Always,Always,Often,Often,Wrong,.,
8th,13,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,3-5 hours,0 hours,11 or more hours,0 hours,3-5 hours,0 hours,3-5 hours,0,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
